title,url,date,excerpt,authors
"A Complete Guide to Google AI StudioExplore Google AI Studio, a free platform that provides access to Googles most powerful AI models and features for free.May 30, 20258 minutes",https://learnprompting.org/blog/guide_ai_studio,Fri May 30 2025,"Explore Google AI Studio, a free platform that provides access to Googles most powerful AI models and features for free.",Chandler Kilpatrick
"Google I/O 2025: A Recap of Googles AI Announcements for 2025Explore the major AI updates announced at Google I/O 2025, including new models and features.May 23, 20257 minutes",https://learnprompting.org/blog/google_io_2025_recap,Fri May 23 2025,"Explore the major AI updates announced at Google I/O 2025, including new models and features.",Chandler Kilpatrick
"Exporing Gemini Native Image Editing: Edit Your Photos and Images with Natural LanguageExplore how Geminis latest update allows users to edit images through natural language, making image creation accessible to everyone.May 19, 20255 minutes",https://learnprompting.org/blog/gemini_native_img,Mon May 19 2025,"Explore how Geminis latest update allows users to edit images through natural language, making image creation accessible to everyone.",Chandler Kilpatrick
"Gemini 2.5 Pro: The Undisputed LMSYS ChampionExplore the capabilities of Googles new Gemini 2.5 Pro model, which tops the LMSYS leaderboards.May 12, 20253 minutes",https://learnprompting.org/blog/gemini_pro_update,Mon May 12 2025,"Explore the capabilities of Googles new Gemini 2.5 Pro model, which tops the LMSYS leaderboards.",Chandler Kilpatrick
"Build Websites by Describing Them: Your Guide to Bolt.newDiscover how Bolt.new allows you to create websites by simply describing them, making web development accessible to everyone.April 30, 20255 minutes",https://learnprompting.org/blog/guide-bolt,Wed Apr 30 2025,"Discover how Bolt.new allows you to create websites by simply describing them, making web development accessible to everyone.",Chandler Kilpatrick
"OpenAI ChatGPT Image Library: A Complete Guide to Managing Your Generated ImagesMaster the new ChatGPT Image Library with our complete guide. Learn how to organize, edit, and manage your AI-generated images with ease.April 17, 20255 minutes",https://learnprompting.org/blog/guide-openai-chatgpt-image-library,Thu Apr 17 2025,"Master the new ChatGPT Image Library with our complete guide. Learn how to organize, edit, and manage your AI-generated images with ease.",Chandler Kilpatrick
"OpenAIs New Image Generation Model: Competing with the Studios?OpenAIs GPT-4o is turning heads with image generation capabilities that come remarkably close to professional quality. The model creates visuals comparable to professional services but does it in minutes instead of hours and at a fraction of the cost. This is both exciting and a bit concerning for the creative industry.April 3, 20256 minutes",https://learnprompting.org/blog/openai-new-image-generation-model-competes-with-studios,Thu Apr 03 2025,OpenAIs GPT-4o is turning heads with image generation capabilities that come remarkably close to professional quality. The model creates visuals comparable to professional services but does it in minutes instead of hours and at a fraction of the cost. This is both exciting and a bit concerning for the creative industry.,Valeriia Kuka
"Allen Institute for AI Introduces CodeScientist: A New AI System for Scientific DiscoveryCodeScientist: A new AI system that can generate and validate scientific hypothesesApril 2, 20252 minutes",https://learnprompting.org/blog/ai2-code-scientist,Wed Apr 02 2025,CodeScientist: A new AI system that can generate and validate scientific hypotheses,Valeriia Kuka
"Allen Institute for AI Releases Paper Finder: A New Approach to Academic Literature SearchAI2 introduces a new literature search tool that aims to replicate human research methodologyApril 2, 20252 minutes",https://learnprompting.org/blog/ai2-paper-finder,Wed Apr 02 2025,AI2 introduces a new literature search tool that aims to replicate human research methodology,Valeriia Kuka
"Amazon Releases Nova Act: A Browser-Based AI Agent Development PlatformAmazons new Nova Act enables developers to create AI agents that can perform automated tasks in web browsersApril 2, 20252 minutes",https://learnprompting.org/blog/amazon-introduces-nova-act,Wed Apr 02 2025,Amazons new Nova Act enables developers to create AI agents that can perform automated tasks in web browsers,Valeriia Kuka
"Understanding Fun-Tuning: How Researchers Found a New Way to Hack AI ModelsHow researchers used fine-tuning APIs to systematically bypass AI safety mechanismsApril 2, 20254 minutes",https://learnprompting.org/blog/fun-tuning-prompt-hacking-gemini-by-exploiting-gemini-free-api,Wed Apr 02 2025,How researchers used fine-tuning APIs to systematically bypass AI safety mechanisms,"sending carefully created training examples through the fine-tuning API, Valeriia Kuka"
"GPT-4o Image Generation: A Complete Guide + 12 Prompt ExamplesOpenAI has released GPT-4o Image Generation, which is probably the most advanced, natively multimodal image generator to date. In this guide, well explore a variety of applications for GPT-4o image generation and provide detailed prompt examples to help you create the exact image you envision.April 2, 20258 minutes",https://learnprompting.org/blog/guide-openai-4o-image-generation,Wed Apr 02 2025,"OpenAI has released GPT-4o Image Generation, which is probably the most advanced, natively multimodal image generator to date. In this guide, well explore a variety of applications for GPT-4o image generation and provide detailed prompt examples to help you create the exact image you envision.","integrating both text, Valeriia Kuka"
